Printing MFT chip positions from geometry file: 
 ChipID 0 : h0-d0 layer0 z0-tr5  Position: x=-8.78, y=-1.69, z=-45.31 
 ChipID 46 : h0-d0 layer1 z2-tr1  Position: x=-3.14, y=-4.69, z=-46.74 
 ChipID 47 : h0-d0 layer1 z2-tr2  Position: x=-3.13, y=-7.71, z=-46.78 
 ChipID 48 : h0-d0 layer1 z2-tr5  Position: x=-1.43, y=-3.69, z=-46.74 
 ChipID 49 : h0-d0 layer1 z2-tr6  Position: x=-1.42, y=-6.71, z=-46.77 
 ChipID 50 : h0-d0 layer1 z2-tr7  Position: x=-1.42, y=-9.72, z=-46.79 
 ChipID 51 : h0-d0 layer1 z1-tr17  Position: x=0.27, y=-3.78, z=-46.74 
 ChipID 52 : h0-d0 layer1 z1-tr16  Position: x=0.27, y=-6.80, z=-46.79 
 ChipID 53 : h0-d0 layer1 z1-tr15  Position: x=0.28, y=-9.81, z=-46.80 
 ChipID 54 : h0-d0 layer1 z1-tr0  Position: x=1.96, y=-3.52, z=-46.74 
 ChipID 55 : h0-d0 layer1 z1-tr1  Position: x=1.96, y=-6.54, z=-46.76 
 ChipID 56 : h0-d0 layer1 z1-tr2  Position: x=1.97, y=-9.56, z=-46.77 
 ChipID 57 : h0-d0 layer1 z1-tr5  Position: x=3.68, y=-1.69, z=-46.76 
 ChipID 58 : h0-d0 layer1 z1-tr6  Position: x=3.68, y=-4.70, z=-46.75 
 ChipID 59 : h0-d0 layer1 z1-tr7  Position: x=3.68, y=-7.72, z=-46.77 
 ChipID 60 : h0-d0 layer1 z0-tr17  Position: x=5.37, y=-1.69, z=-46.75 
 ChipID 61 : h0-d0 layer1 z0-tr16  Position: x=5.37, y=-4.70, z=-46.76 
 ChipID 62 : h0-d0 layer1 z0-tr15  Position: x=5.38, y=-7.72, z=-46.77 
 ChipID 63 : h0-d0 layer1 z0-tr0  Position: x=7.08, y=-1.69, z=-46.75 
 ChipID 64 : h0-d0 layer1 z0-tr1  Position: x=7.08, y=-4.70, z=-46.77 
 ChipID 65 : h0-d0 layer1 z0-tr2  Position: x=7.08, y=-7.72, z=-46.77 
 ChipID 66 : h0-d1 layer2 z0-tr5  Position: x=-8.77, y=-1.69, z=-48.61 
 ChipID 67 : h0-d1 layer2 z0-tr6  Position: x=-8.78, y=-4.71, z=-48.63 
 ChipID 68 : h0-d1 layer2 z3-tr0  Position: x=8.20, y=-1.70, z=-48.59 
 ChipID 69 : h0-d1 layer2 z3-tr1  Position: x=8.24, y=-4.71, z=-48.65 
 ChipID 70 : h0-d1 layer2 z3-tr17  Position: x=9.95, y=-1.70, z=-48.67 
 ChipID 71 : h0-d1 layer2 z3-tr16  Position: x=9.95, y=-4.71, z=-48.66 
 ChipID 72 : h0-d1 layer3 z3-tr17  Position: x=-9.92, y=-1.70, z=-50.03 
 ChipID 73 : h0-d1 layer3 z3-tr16  Position: x=-9.92, y=-4.71, z=-50.04 
 ChipID 74 : h0-d1 layer3 z3-tr0  Position: x=-8.22, y=-1.69, z=-50.03 
 ChipID 75 : h0-d1 layer3 z3-tr1  Position: x=-8.22, y=-4.71, z=-50.05 
 ChipID 76 : h0-d1 layer3 z0-tr5  Position: x=8.78, y=-1.70, z=-50.08 
 ChipID 77 : h0-d1 layer3 z0-tr6  Position: x=8.78, y=-4.72, z=-50.08 
 ChipID 78 : h0-d1 layer2 z0-tr0  Position: x=-7.07, y=-1.69, z=-48.61 
 ChipID 79 : h0-d1 layer2 z0-tr1  Position: x=-7.07, y=-4.71, z=-48.62 
 ChipID 80 : h0-d1 layer2 z0-tr2  Position: x=-7.07, y=-7.72, z=-48.62 
 ChipID 81 : h0-d1 layer2 z0-tr17  Position: x=-5.36, y=-1.69, z=-48.61 
 ChipID 82 : h0-d1 layer2 z0-tr16  Position: x=-5.37, y=-4.70, z=-48.61 
 ChipID 83 : h0-d1 layer2 z0-tr15  Position: x=-5.37, y=-7.72, z=-48.61 
 ChipID 84 : h0-d1 layer2 z1-tr5  Position: x=-3.67, y=-1.68, z=-48.62 
 ChipID 85 : h0-d1 layer2 z1-tr6  Position: x=-3.67, y=-4.70, z=-48.61 
 ChipID 86 : h0-d1 layer2 z1-tr7  Position: x=-3.67, y=-7.71, z=-48.61 
 ChipID 87 : h0-d1 layer2 z1-tr0  Position: x=-1.96, y=-3.53, z=-48.61 
 ChipID 88 : h0-d1 layer2 z1-tr1  Position: x=-1.96, y=-6.55, z=-48.61 
 ChipID 89 : h0-d1 layer2 z1-tr2  Position: x=-1.97, y=-9.56, z=-48.62 
 ChipID 90 : h0-d1 layer2 z1-tr17  Position: x=-0.27, y=-3.79, z=-48.62 
 ChipID 91 : h0-d1 layer2 z1-tr16  Position: x=-0.27, y=-6.80, z=-48.64 
 ChipID 92 : h0-d1 layer2 z1-tr15  Position: x=-0.27, y=-9.82, z=-48.65 
 ChipID 93 : h0-d1 layer2 z2-tr5  Position: x=1.43, y=-3.69, z=-48.62 
 ChipID 94 : h0-d1 layer2 z2-tr6  Position: x=1.43, y=-6.71, z=-48.62 
 ChipID 95 : h0-d1 layer2 z2-tr7  Position: x=1.43, y=-9.72, z=-48.62 
 ChipID 96 : h0-d1 layer2 z2-tr0  Position: x=3.14, y=-1.69, z=-48.66 
 ChipID 97 : h0-d1 layer2 z2-tr1  Position: x=3.14, y=-4.70, z=-48.62 
 ChipID 98 : h0-d1 layer2 z2-tr2  Position: x=3.14, y=-7.72, z=-48.62 
 ChipID 99 : h0-d1 layer2 z2-tr17  Position: x=4.84, y=-1.69, z=-48.65 
 ChipID 100 : h0-d1 layer2 z2-tr16  Position: x=4.84, y=-4.71, z=-48.63 
 ChipID 101 : h0-d1 layer2 z2-tr15  Position: x=4.84, y=-7.72, z=-48.63 
 ChipID 102 : h0-d1 layer2 z3-tr5  Position: x=6.50, y=-1.70, z=-48.59 
 ChipID 103 : h0-d1 layer2 z3-tr6  Position: x=6.50, y=-4.71, z=-48.59 
 ChipID 104 : h0-d1 layer2 z3-tr7  Position: x=6.50, y=-7.73, z=-48.59 
 ChipID 105 : h0-d1 layer3 z3-tr5  Position: x=-6.52, y=-1.70, z=-50.04 
 ChipID 106 : h0-d1 layer3 z3-tr6  Position: x=-6.52, y=-4.71, z=-50.06 
 ChipID 107 : h0-d1 layer3 z3-tr7  Position: x=-6.52, y=-7.73, z=-50.05 
 ChipID 108 : h0-d1 layer3 z2-tr17  Position: x=-4.81, y=-1.70, z=-50.05 
 ChipID 109 : h0-d1 layer3 z2-tr16  Position: x=-4.81, y=-4.71, z=-50.05 
 ChipID 110 : h0-d1 layer3 z2-tr15  Position: x=-4.82, y=-7.73, z=-50.06 
 ChipID 111 : h0-d1 layer3 z2-tr0  Position: x=-3.11, y=-1.70, z=-50.05 
 ChipID 112 : h0-d1 layer3 z2-tr1  Position: x=-3.11, y=-4.71, z=-50.03 
 ChipID 113 : h0-d1 layer3 z2-tr2  Position: x=-3.12, y=-7.73, z=-50.03 
 ChipID 114 : h0-d1 layer3 z2-tr5  Position: x=-1.42, y=-3.70, z=-50.03 
 ChipID 115 : h0-d1 layer3 z2-tr6  Position: x=-1.42, y=-6.72, z=-50.04 
 ChipID 116 : h0-d1 layer3 z2-tr7  Position: x=-1.42, y=-9.73, z=-50.04 
 ChipID 117 : h0-d1 layer3 z1-tr17  Position: x=0.28, y=-3.79, z=-50.04 
 ChipID 118 : h0-d1 layer3 z1-tr16  Position: x=0.28, y=-6.81, z=-50.06 
 ChipID 119 : h0-d1 layer3 z1-tr15  Position: x=0.28, y=-9.83, z=-50.07 
 ChipID 120 : h0-d1 layer3 z1-tr0  Position: x=1.98, y=-3.54, z=-50.05 
 ChipID 121 : h0-d1 layer3 z1-tr1  Position: x=1.98, y=-6.56, z=-50.05 
 ChipID 122 : h0-d1 layer3 z1-tr2  Position: x=1.98, y=-9.57, z=-50.05 
 ChipID 123 : h0-d1 layer3 z1-tr5  Position: x=3.69, y=-1.70, z=-50.07 
 ChipID 124 : h0-d1 layer3 z1-tr6  Position: x=3.68, y=-4.71, z=-50.07 
 ChipID 125 : h0-d1 layer3 z1-tr7  Position: x=3.68, y=-7.73, z=-50.04 
 ChipID 126 : h0-d1 layer3 z0-tr17  Position: x=5.38, y=-1.70, z=-50.07 
 ChipID 127 : h0-d1 layer3 z0-tr16  Position: x=5.38, y=-4.71, z=-50.06 
 ChipID 128 : h0-d1 layer3 z0-tr15  Position: x=5.38, y=-7.73, z=-50.06 
 ChipID 129 : h0-d1 layer3 z0-tr0  Position: x=7.09, y=-1.70, z=-50.07 
 ChipID 130 : h0-d1 layer3 z0-tr1  Position: x=7.08, y=-4.72, z=-50.07 
 ChipID 131 : h0-d1 layer3 z0-tr2  Position: x=7.08, y=-7.73, z=-50.06 
 ChipID 132 : h0-d2 layer4 z0-tr5  Position: x=-10.50, y=-1.69, z=-52.27 
 ChipID 133 : h0-d2 layer4 z0-tr6  Position: x=-10.50, y=-4.71, z=-52.26 
 ChipID 134 : h0-d2 layer4 z3-tr22  Position: x=9.91, y=-1.69, z=-52.32 
 ChipID 135 : h0-d2 layer4 z3-tr21  Position: x=9.91, y=-4.70, z=-52.30 
 ChipID 136 : h0-d2 layer5 z3-tr22  Position: x=-9.94, y=-1.70, z=-53.69 
 ChipID 137 : h0-d2 layer5 z3-tr21  Position: x=-9.94, y=-4.71, z=-53.70 
 ChipID 138 : h0-d2 layer5 z0-tr5  Position: x=10.47, y=-1.70, z=-53.72 
 ChipID 139 : h0-d2 layer5 z0-tr6  Position: x=10.47, y=-4.72, z=-53.73 
 ChipID 140 : h0-d2 layer4 z0-tr0  Position: x=-8.79, y=-1.68, z=-52.28 
 ChipID 141 : h0-d2 layer4 z0-tr1  Position: x=-8.79, y=-4.70, z=-52.27 
 ChipID 142 : h0-d2 layer4 z0-tr2  Position: x=-8.79, y=-7.71, z=-52.28 
 ChipID 143 : h0-d2 layer4 z0-tr17  Position: x=-7.10, y=-1.69, z=-52.28 
 ChipID 144 : h0-d2 layer4 z0-tr16  Position: x=-7.10, y=-4.70, z=-52.26 
 ChipID 145 : h0-d2 layer4 z0-tr15  Position: x=-7.10, y=-7.72, z=-52.27 
 ChipID 146 : h0-d2 layer4 z1-tr17  Position: x=-2.00, y=-3.53, z=-52.27 
 ChipID 147 : h0-d2 layer4 z1-tr16  Position: x=-2.00, y=-6.55, z=-52.27 
 ChipID 148 : h0-d2 layer4 z1-tr15  Position: x=-2.00, y=-9.56, z=-52.26 
 ChipID 149 : h0-d2 layer4 z2-tr5  Position: x=-0.30, y=-3.78, z=-52.27 
 ChipID 150 : h0-d2 layer4 z2-tr6  Position: x=-0.29, y=-6.80, z=-52.27 
 ChipID 151 : h0-d2 layer4 z2-tr7  Position: x=-0.30, y=-9.82, z=-52.30 
 ChipID 152 : h0-d2 layer4 z2-tr0  Position: x=1.39, y=-3.69, z=-52.28 
 ChipID 153 : h0-d2 layer4 z2-tr1  Position: x=1.39, y=-6.71, z=-52.27 
 ChipID 154 : h0-d2 layer4 z2-tr2  Position: x=1.40, y=-9.73, z=-52.28 
 ChipID 155 : h0-d2 layer4 z3-tr0  Position: x=6.51, y=-1.68, z=-52.32 
 ChipID 156 : h0-d2 layer4 z3-tr1  Position: x=6.51, y=-4.69, z=-52.29 
 ChipID 157 : h0-d2 layer4 z3-tr2  Position: x=6.51, y=-7.71, z=-52.29 
 ChipID 158 : h0-d2 layer4 z3-tr17  Position: x=8.21, y=-1.69, z=-52.32 
 ChipID 159 : h0-d2 layer4 z3-tr16  Position: x=8.21, y=-4.70, z=-52.30 
 ChipID 160 : h0-d2 layer4 z3-tr15  Position: x=8.21, y=-7.71, z=-52.28 
 ChipID 161 : h0-d2 layer5 z3-tr17  Position: x=-8.25, y=-1.70, z=-53.69 
 ChipID 162 : h0-d2 layer5 z3-tr16  Position: x=-8.25, y=-4.71, z=-53.70 
 ChipID 163 : h0-d2 layer5 z3-tr15  Position: x=-8.25, y=-7.73, z=-53.70 
 ChipID 164 : h0-d2 layer5 z3-tr0  Position: x=-6.54, y=-1.70, z=-53.70 
 ChipID 165 : h0-d2 layer5 z3-tr1  Position: x=-6.54, y=-4.71, z=-53.70 
 ChipID 166 : h0-d2 layer5 z3-tr2  Position: x=-6.55, y=-7.73, z=-53.70 
 ChipID 167 : h0-d2 layer5 z2-tr0  Position: x=-1.45, y=-3.70, z=-53.69 
 ChipID 168 : h0-d2 layer5 z2-tr1  Position: x=-1.45, y=-6.72, z=-53.71 
 ChipID 169 : h0-d2 layer5 z2-tr2  Position: x=-1.45, y=-9.74, z=-53.76 
 ChipID 170 : h0-d2 layer5 z2-tr5  Position: x=0.25, y=-3.80, z=-53.70 
 ChipID 171 : h0-d2 layer5 z2-tr6  Position: x=0.25, y=-6.81, z=-53.71 
 ChipID 172 : h0-d2 layer5 z2-tr7  Position: x=0.25, y=-9.83, z=-53.72 
 ChipID 173 : h0-d2 layer5 z1-tr17  Position: x=1.95, y=-3.55, z=-53.70 
 ChipID 174 : h0-d2 layer5 z1-tr16  Position: x=1.95, y=-6.56, z=-53.69 
 ChipID 175 : h0-d2 layer5 z1-tr15  Position: x=1.95, y=-9.58, z=-53.72 
 ChipID 176 : h0-d2 layer5 z0-tr17  Position: x=7.06, y=-1.71, z=-53.73 
 ChipID 177 : h0-d2 layer5 z0-tr16  Position: x=7.06, y=-4.73, z=-53.74 
 ChipID 178 : h0-d2 layer5 z0-tr15  Position: x=7.05, y=-7.74, z=-53.69 
 ChipID 179 : h0-d2 layer5 z0-tr0  Position: x=8.75, y=-1.71, z=-53.73 
 ChipID 180 : h0-d2 layer5 z0-tr1  Position: x=8.75, y=-4.72, z=-53.71 
 ChipID 181 : h0-d2 layer5 z0-tr2  Position: x=8.75, y=-7.74, z=-53.71 
 ChipID 182 : h0-d2 layer4 z1-tr5  Position: x=-5.39, y=-1.68, z=-52.27 
 ChipID 183 : h0-d2 layer4 z1-tr6  Position: x=-5.39, y=-4.69, z=-52.27 
 ChipID 184 : h0-d2 layer4 z1-tr7  Position: x=-5.40, y=-7.71, z=-52.27 
 ChipID 185 : h0-d2 layer4 z1-tr24  Position: x=-5.39, y=-10.72, z=-52.24 
 ChipID 186 : h0-d2 layer4 z1-tr0  Position: x=-3.70, y=-1.68, z=-52.29 
 ChipID 187 : h0-d2 layer4 z1-tr1  Position: x=-3.70, y=-4.69, z=-52.26 
 ChipID 188 : h0-d2 layer4 z1-tr2  Position: x=-3.70, y=-7.71, z=-52.23 
 ChipID 189 : h0-d2 layer4 z1-tr3  Position: x=-3.70, y=-10.73, z=-52.26 
 ChipID 190 : h0-d2 layer4 z2-tr17  Position: x=3.10, y=-1.68, z=-52.32 
 ChipID 191 : h0-d2 layer4 z2-tr16  Position: x=3.10, y=-4.70, z=-52.28 
 ChipID 192 : h0-d2 layer4 z2-tr15  Position: x=3.10, y=-7.71, z=-52.26 
 ChipID 193 : h0-d2 layer4 z2-tr14  Position: x=3.10, y=-10.73, z=-52.26 
 ChipID 194 : h0-d2 layer4 z3-tr5  Position: x=4.80, y=-1.68, z=-52.30 
 ChipID 195 : h0-d2 layer4 z3-tr6  Position: x=4.80, y=-4.70, z=-52.28 
 ChipID 196 : h0-d2 layer4 z3-tr7  Position: x=4.80, y=-7.71, z=-52.26 
 ChipID 197 : h0-d2 layer4 z3-tr24  Position: x=4.80, y=-10.73, z=-52.26 
 ChipID 198 : h0-d2 layer5 z3-tr5  Position: x=-4.85, y=-1.70, z=-53.70 
 ChipID 199 : h0-d2 layer5 z3-tr6  Position: x=-4.85, y=-4.71, z=-53.70 
 ChipID 200 : h0-d2 layer5 z3-tr7  Position: x=-4.85, y=-7.73, z=-53.69 
 ChipID 201 : h0-d2 layer5 z3-tr24  Position: x=-4.85, y=-10.74, z=-53.69 
 ChipID 202 : h0-d2 layer5 z2-tr17  Position: x=-3.15, y=-1.70, z=-53.71 
 ChipID 203 : h0-d2 layer5 z2-tr16  Position: x=-3.15, y=-4.71, z=-53.70 
 ChipID 204 : h0-d2 layer5 z2-tr15  Position: x=-3.15, y=-7.73, z=-53.70 
 ChipID 205 : h0-d2 layer5 z2-tr14  Position: x=-3.15, y=-10.74, z=-53.69 
 ChipID 206 : h0-d2 layer5 z1-tr0  Position: x=3.66, y=-1.70, z=-53.73 
 ChipID 207 : h0-d2 layer5 z1-tr1  Position: x=3.66, y=-4.72, z=-53.70 
 ChipID 208 : h0-d2 layer5 z1-tr2  Position: x=3.66, y=-7.73, z=-53.69 
 ChipID 209 : h0-d2 layer5 z1-tr3  Position: x=3.65, y=-10.75, z=-53.69 
 ChipID 210 : h0-d2 layer5 z1-tr5  Position: x=5.35, y=-1.70, z=-53.74 
 ChipID 211 : h0-d2 layer5 z1-tr6  Position: x=5.35, y=-4.72, z=-53.71 
 ChipID 212 : h0-d2 layer5 z1-tr7  Position: x=5.35, y=-7.73, z=-53.70 
 ChipID 213 : h0-d2 layer5 z1-tr24  Position: x=5.35, y=-10.74, z=-53.71 
 ChipID 214 : h0-d3 layer6 z0-tr5  Position: x=-12.17, y=-1.64, z=-67.72 
 ChipID 215 : h0-d3 layer6 z0-tr6  Position: x=-12.17, y=-4.65, z=-67.73 
 ChipID 216 : h0-d3 layer6 z0-tr7  Position: x=-12.17, y=-7.67, z=-67.73 
 ChipID 217 : h0-d3 layer6 z0-tr0  Position: x=-10.47, y=-1.64, z=-67.73 
 ChipID 218 : h0-d3 layer6 z0-tr1  Position: x=-10.47, y=-4.65, z=-67.73 
 ChipID 219 : h0-d3 layer6 z0-tr2  Position: x=-10.47, y=-7.67, z=-67.73 
 ChipID 220 : h0-d3 layer6 z3-tr0  Position: x=9.94, y=-1.65, z=-67.75 
 ChipID 221 : h0-d3 layer6 z3-tr1  Position: x=9.94, y=-4.66, z=-67.74 
 ChipID 222 : h0-d3 layer6 z3-tr2  Position: x=9.94, y=-7.67, z=-67.74 
 ChipID 223 : h0-d3 layer6 z3-tr17  Position: x=11.64, y=-1.64, z=-67.76 
 ChipID 224 : h0-d3 layer6 z3-tr16  Position: x=11.64, y=-4.65, z=-67.73 
 ChipID 225 : h0-d3 layer6 z3-tr15  Position: x=11.64, y=-7.67, z=-67.74 
 ChipID 226 : h0-d3 layer6 z3-tr22  Position: x=13.34, y=-1.64, z=-67.76 
 ChipID 227 : h0-d3 layer6 z3-tr21  Position: x=13.34, y=-4.65, z=-67.74 
 ChipID 228 : h0-d3 layer6 z3-tr20  Position: x=13.33, y=-7.66, z=-67.69 
 ChipID 229 : h0-d3 layer7 z3-tr22  Position: x=-13.33, y=-1.64, z=-69.12 
 ChipID 230 : h0-d3 layer7 z3-tr21  Position: x=-13.33, y=-4.66, z=-69.15 
 ChipID 231 : h0-d3 layer7 z3-tr20  Position: x=-13.33, y=-7.68, z=-69.17 
 ChipID 232 : h0-d3 layer7 z3-tr17  Position: x=-11.62, y=-1.65, z=-69.12 
 ChipID 233 : h0-d3 layer7 z3-tr16  Position: x=-11.62, y=-4.67, z=-69.14 
 ChipID 234 : h0-d3 layer7 z3-tr15  Position: x=-11.61, y=-7.68, z=-69.15 
 ChipID 235 : h0-d3 layer7 z3-tr0  Position: x=-9.92, y=-1.65, z=-69.13 
 ChipID 236 : h0-d3 layer7 z3-tr1  Position: x=-9.92, y=-4.66, z=-69.15 
 ChipID 237 : h0-d3 layer7 z3-tr2  Position: x=-9.92, y=-7.68, z=-69.16 
 ChipID 238 : h0-d3 layer7 z0-tr0  Position: x=10.48, y=-1.65, z=-69.16 
 ChipID 239 : h0-d3 layer7 z0-tr1  Position: x=10.49, y=-4.67, z=-69.18 
 ChipID 240 : h0-d3 layer7 z0-tr2  Position: x=10.49, y=-7.68, z=-69.17 
 ChipID 241 : h0-d3 layer7 z0-tr5  Position: x=12.19, y=-1.65, z=-69.18 
 ChipID 242 : h0-d3 layer7 z0-tr6  Position: x=12.19, y=-4.66, z=-69.16 
 ChipID 243 : h0-d3 layer7 z0-tr7  Position: x=12.19, y=-7.68, z=-69.16 
 ChipID 244 : h0-d3 layer6 z0-tr17  Position: x=-8.77, y=-1.64, z=-67.72 
 ChipID 245 : h0-d3 layer6 z0-tr16  Position: x=-8.77, y=-4.65, z=-67.74 
 ChipID 246 : h0-d3 layer6 z0-tr15  Position: x=-8.77, y=-7.67, z=-67.72 
 ChipID 247 : h0-d3 layer6 z0-tr14  Position: x=-8.77, y=-10.68, z=-67.71 
 ChipID 248 : h0-d3 layer6 z0-tr22  Position: x=-7.08, y=-1.64, z=-67.73 
 ChipID 249 : h0-d3 layer6 z0-tr21  Position: x=-7.08, y=-4.65, z=-67.73 
 ChipID 250 : h0-d3 layer6 z0-tr20  Position: x=-7.07, y=-7.66, z=-67.71 
 ChipID 251 : h0-d3 layer6 z0-tr19  Position: x=-7.07, y=-10.68, z=-67.74 
 ChipID 252 : h0-d3 layer6 z1-tr5  Position: x=-5.37, y=-1.64, z=-67.73 
 ChipID 253 : h0-d3 layer6 z1-tr6  Position: x=-5.37, y=-4.66, z=-67.74 
 ChipID 254 : h0-d3 layer6 z1-tr7  Position: x=-5.37, y=-7.67, z=-67.71 
 ChipID 255 : h0-d3 layer6 z1-tr24  Position: x=-5.37, y=-10.69, z=-67.73 
 ChipID 256 : h0-d3 layer6 z1-tr0  Position: x=-3.66, y=-3.44, z=-67.72 
 ChipID 257 : h0-d3 layer6 z1-tr1  Position: x=-3.66, y=-6.45, z=-67.73 
 ChipID 258 : h0-d3 layer6 z1-tr2  Position: x=-3.67, y=-9.46, z=-67.72 
 ChipID 259 : h0-d3 layer6 z1-tr3  Position: x=-3.67, y=-12.48, z=-67.75 
 ChipID 260 : h0-d3 layer6 z1-tr17  Position: x=-1.98, y=-4.67, z=-67.74 
 ChipID 261 : h0-d3 layer6 z1-tr16  Position: x=-1.97, y=-7.69, z=-67.73 
 ChipID 262 : h0-d3 layer6 z1-tr15  Position: x=-1.97, y=-10.70, z=-67.73 
 ChipID 263 : h0-d3 layer6 z1-tr14  Position: x=-1.97, y=-13.72, z=-67.75 
 ChipID 264 : h0-d3 layer6 z1-tr22  Position: x=-0.27, y=-4.84, z=-67.74 
 ChipID 265 : h0-d3 layer6 z1-tr21  Position: x=-0.27, y=-7.85, z=-67.73 
 ChipID 266 : h0-d3 layer6 z1-tr20  Position: x=-0.27, y=-10.86, z=-67.69 
 ChipID 267 : h0-d3 layer6 z1-tr19  Position: x=-0.27, y=-13.88, z=-67.73 
 ChipID 268 : h0-d3 layer6 z2-tr5  Position: x=1.43, y=-4.78, z=-67.74 
 ChipID 269 : h0-d3 layer6 z2-tr6  Position: x=1.43, y=-7.79, z=-67.72 
 ChipID 270 : h0-d3 layer6 z2-tr7  Position: x=1.43, y=-10.81, z=-67.73 
 ChipID 271 : h0-d3 layer6 z2-tr24  Position: x=1.43, y=-13.83, z=-67.77 
 ChipID 272 : h0-d3 layer6 z2-tr0  Position: x=3.14, y=-3.91, z=-67.73 
 ChipID 273 : h0-d3 layer6 z2-tr1  Position: x=3.14, y=-6.92, z=-67.71 
 ChipID 274 : h0-d3 layer6 z2-tr2  Position: x=3.14, y=-9.94, z=-67.73 
